sample_id,psnr,ssim,lpips
10140071_18480_32648,30.850133435766484,0.8247408866882324,0.13001909852027893
10140071_1848_49588,32.23185065857504,0.8887272477149963,0.11956401914358139
10140071_18788_20020,33.72899495542093,0.862720787525177,0.13872647285461426
10140071_18788_81004,33.12437627186374,0.9152358174324036,0.07278156280517578
10140071_19096_27720,35.73116293502752,0.9135555624961853,0.08245459198951721
10140071_19404_16324,34.08581818274425,0.8787924647331238,0.09263286739587784
10140071_19404_36344,34.11324248642301,0.8856342434883118,0.11581836640834808
10140071_19404_52668,32.24429117943834,0.8894804120063782,0.09641653299331665
10140071_19404_79772,34.85037063206515,0.9106042981147766,0.06974662840366364
10140071_19712_26488,33.28620301616302,0.8784247040748596,0.13878107070922852
10140071_20328_15092,32.91250989518429,0.8807217478752136,0.12987419962882996
10140071_20636_64680,33.77487360774921,0.8653714060783386,0.14758801460266113
10140071_20944_23100,35.070032631538766,0.8897972106933594,0.14167389273643494
10140071_21252_29876,34.036305408217615,0.8696832060813904,0.1245725154876709
10140071_21868_48048,35.83597458919945,0.9300861954689026,0.09359843283891678
10140071_21868_83468,32.562364096807684,0.8823697566986084,0.11196441948413849
10140071_22176_12936,37.836546399663405,0.9143364429473877,0.0862298384308815
10140071_23408_41580,35.27086466866114,0.9086170196533203,0.08181988447904587
10140071_23716_28952,33.35952588588172,0.8674346804618835,0.1370895951986313
10140071_23716_82544,34.17991641910689,0.9015290141105652,0.07442034780979156
10140071_23716_84392,33.05509129462478,0.8636762499809265,0.09798714518547058
10140071_24024_65604,28.740063161495513,0.845373809337616,0.10404573380947113
10140071_24024_71764,34.11225121027318,0.8865575790405273,0.10842761397361755
10140071_24024_83776,34.94423737714324,0.899124801158905,0.0954742580652237
10140071_24332_46508,34.67762914837631,0.9073567390441895,0.10201730579137802
10140071_24332_60060,32.641683618961125,0.889691174030304,0.12116381525993347
10140071_24640_66528,32.07254514868383,0.8539453148841858,0.10160212963819504
10140071_24948_64680,34.752403295469946,0.9166216254234314,0.08058847486972809
10140071_25256_13552,28.36099373092301,0.7528483867645264,0.202162966132164
10140071_25256_42504,34.24831568882354,0.8892514109611511,0.08952595293521881
10140071_25564_41272,37.01776399533795,0.9232800006866455,0.085425466299057
10140071_25872_61600,36.877333085067164,0.9183775782585144,0.09329710900783539
10140071_25872_68068,35.38680493099144,0.9063218235969543,0.11047690361738205
10140071_25872_75152,33.43476907053771,0.9194560647010803,0.0739661306142807
10140071_25872_90860,35.70919618039815,0.8876913189888,0.13061164319515228
10140071_26180_30492,33.79579617935455,0.8801433444023132,0.1257423758506775
10140071_26180_74536,35.419511372977645,0.910600483417511,0.10680338740348816
10140071_26488_54824,35.49601169099786,0.9159052968025208,0.06484807282686234
10140071_26488_73304,35.55003379836684,0.9269144535064697,0.07486890256404877
10140071_26796_85008,35.04171574299713,0.897523820400238,0.0972486138343811
10140071_27104_20944,30.81535204974047,0.8684720993041992,0.1162576675415039
10140071_27720_87164,35.52441427432958,0.9192858338356018,0.09626951813697815
10140071_28028_72688,34.94393409976864,0.8982036113739014,0.0787992924451828
10140071_28336_81312,35.211550882718896,0.9075863361358643,0.08374133706092834
10140071_28336_86240,34.56389490903955,0.9047829508781433,0.09295247495174408
10140071_28644_86240,30.63546319500276,0.8687326908111572,0.13239282369613647
10140071_28952_24948,34.852448923539974,0.8969170451164246,0.12769614160060883
10140071_29568_67144,35.291486532272245,0.8991246819496155,0.083816759288311
10140071_29568_80080,31.9232412831712,0.8678397536277771,0.113344207406044
10140071_29876_75460,37.942837513763756,0.9370872974395752,0.08639158308506012
10140071_30184_52360,36.164811408528166,0.9018537998199463,0.13357582688331604
10140071_30492_88396,34.39233016395322,0.8863977789878845,0.13295182585716248
